Taxon ID,Common Name,Scientific Name,Genus,Species,Plate
rosgoo,Ross's Goose,Anser rossii,Anser,rossii,plate-381-snow-goose
lessca,Lesser Scaup,Aythya affinis,Aythya,affinis,plate-229-scaup-duck
logshr,Loggerhead Shrike,Lanius ludovicianus,Lanius,ludovicianus,
horlar,Horned Lark,Eremophila alpestris,Eremophila,alpestris,
eargre,Eared Grebe,Podiceps nigricollis,Podiceps,nigricollis,
amegfi,American Goldfinch,Spinus tristis,Spinus,tristis,
virrai,Virginia Rail,Rallus limicola,Rallus,limicola,plate-205-virginia-rail
sora,Sora,Porzana carolina,Porzana,carolina,plate-233-sora-or-rail
foxspa,Fox Sparrow,Passerella iliaca,Passerella,iliaca,
bnhcow,Brown-headed Cowbird,Molothrus ater,Molothrus,ater,
grtgra,Great-tailed Grackle,Quiscalus mexicanus,Quiscalus,mexicanus,
norfli,Northern Flicker,Colaptes auratus,Colaptes,auratus,
perfal,Peregrine Falcon,Falco peregrinus,Falco,peregrinus,
glwgul,Glaucous-winged Gull,Larus glaucescens,Larus,glaucescens,
buwtea,Blue-winged Teal,Spatula discors,Spatula,discors,plate-313-blue-winged-teal
nutwoo,Nuttall's Woodpecker,Dryobates nuttallii,Dryobates,nuttallii,
cacgoo1,Cackling Goose,Branta hutchinsii,Branta,hutchinsii,
redhea,Redhead,Aythya americana,Aythya,americana,plate-322-red-headed-duck
normoc,Northern Mockingbird,Mimus polyglottos,Mimus,polyglottos,
bkbplo,Black-bellied Plover,Pluvialis squatarola,Pluvialis,squatarola,plate-334-black-bellied-plover
lesgol,Lesser Goldfinch,Spinus psaltria,Spinus,psaltria,
cowscj1,California Scrub-Jay,Aphelocoma californica,Aphelocoma,californica,
y00478,Iceland Gull,Larus glaucoides,Larus,glaucoides,
amwpel,American White Pelican,Pelecanus erythrorhynchos,Pelecanus,erythrorhynchos,plate-311-american-white-pelican
whtswi,White-throated Swift,Aeronautes saxatalis,Aeronautes,saxatalis,
lesyel,Lesser Yellowlegs,Tringa flavipes,Tringa,flavipes,plate-288-yellow-shank
bongul,Bonaparte's Gull,Chroicocephalus philadelphia,Chroicocephalus,philadelphia,
bushti,Bushtit,Psaltriparus minimus,Psaltriparus,minimus,
sancra,Sandhill Crane,Antigone canadensis,Antigone,canadensis,
spotow,Spotted Towhee,Pipilo maculatus,Pipilo,maculatus,
tribla,Tricolored Blackbird,Agelaius tricolor,Agelaius,tricolor,
wessan,Western Sandpiper,Calidris mauri,Calidris,mauri,
daejun,Dark-eyed Junco,Junco hyemalis,Junco,hyemalis,
gresca,Greater Scaup,Aythya marila,Aythya,marila,plate-229-scaup-duck
dowwoo,Downy Woodpecker,Dryobates pubescens,Dryobates,pubescens,
merlin,Merlin,Falco columbarius,Falco,columbarius,
swaspa,Swamp Sparrow,Melospiza georgiana,Melospiza,georgiana,
eurwig,Eurasian Wigeon,Mareca penelope,Mareca,penelope,
eucdov,Eurasian Collared-Dove,Streptopelia decaocto,Streptopelia,decaocto,
categr,Cattle Egret,Bubulcus ibis,Bubulcus,ibis,
bewwre,Bewick's Wren,Thryomanes bewickii,Thryomanes,bewickii,
mewgul2,Short-billed Gull,Larus brachyrhynchus,Larus,brachyrhynchus,
shshaw,Sharp-shinned Hawk,Accipiter striatus,Accipiter,striatus,
yebmag,Yellow-billed Magpie,Pica nuttalli,Pica,nuttalli,plate-362-yellow-billed-magpie
amerob,American Robin,Turdus migratorius,Turdus,migratorius,
wooduc,Wood Duck,Aix sponsa,Aix,sponsa,plate-206-summer-or-wood-duck
houwre,House Wren,Troglodytes aedon,Troglodytes,aedon,
herthr,Hermit Thrush,Catharus guttatus,Catharus,guttatus,
caltow,California Towhee,Melozone crissalis,Melozone,crissalis,
bargol,Barrow's Goldeneye,Bucephala islandica,Bucephala,islandica,plate-342-golden-eye-duck
calqua,California Quail,Callipepla californica,Callipepla,californica,
annhum,Anna's Hummingbird,Calypte anna,Calypte,anna,
ferhaw,Ferruginous Hawk,Buteo regalis,Buteo,regalis,
burowl,Burrowing Owl,Athene cunicularia,Athene,cunicularia,
rocwre,Rock Wren,Salpinctes obsoletus,Salpinctes,obsoletus,
yehbla,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Xanthocephalus,xanthocephalus,
wiltur,Wild Turkey,Meleagris gallopavo,Meleagris,gallopavo,
sposan,Spotted Sandpiper,Actitis macularius,Actitis,macularius,
grnher,Green Heron,Butorides virescens,Butorides,virescens,plate-333-green-heron
osprey,Osprey,Pandion haliaetus,Pandion,haliaetus,plate-81-fish-hawk-or-osprey
baleag,Bald Eagle,Haliaeetus leucocephalus,Haliaeetus,leucocephalus,
sheowl,Short-eared Owl,Asio flammeus,Asio,flammeus,
whbnut,White-breasted Nuthatch,Sitta carolinensis,Sitta,carolinensis,
hoomer,Hooded Merganser,Lophodytes cucullatus,Lophodytes,cucullatus,
pagplo,Pacific Golden-Plover,Pluvialis fulva,Pluvialis,fulva,
wesgul,Western Gull,Larus occidentalis,Larus,occidentalis,
glagul,Glaucous Gull,Larus hyperboreus,Larus,hyperboreus,
wesblu,Western Bluebird,Sialia mexicana,Sialia,mexicana,
cedwax,Cedar Waxwing,Bombycilla cedrorum,Bombycilla,cedrorum,
orcwar,Orange-crowned Warbler,Leiothlypis celata,Leiothlypis,celata,
commer,Common Merganser,Mergus merganser,Mergus,merganser,
mouplo,Mountain Plover,Charadrius montanus,Charadrius,montanus,
whimbr,Whimbrel,Numenius phaeopus,Numenius,phaeopus,
lbbgul,Lesser Black-backed Gull,Larus fuscus,Larus,fuscus,
swahaw,Swainson's Hawk,Buteo swainsoni,Buteo,swainsoni,plate-372-common-buzzard
brnowl,Barn Owl,Tyto alba,Tyto,alba,
norshr4,Northern Shrike,Lanius borealis,Lanius,borealis,
oaktit,Oak Titmouse,Baeolophus inornatus,Baeolophus,inornatus,
gockin,Golden-crowned Kinglet,Regulus satrapa,Regulus,satrapa,
buggna,Blue-gray Gnatcatcher,Polioptila caerulea,Polioptila,caerulea,
larspa,Lark Sparrow,Chondestes grammacus,Chondestes,grammacus,
mutswa,Mute Swan,Cygnus olor,Cygnus,olor,
wesgre,Western Grebe,Aechmophorus occidentalis,Aechmophorus,occidentalis,
margod,Marbled Godwit,Limosa fedoa,Limosa,fedoa,plate-238-great-marbled-godwit
goleag,Golden Eagle,Aquila chrysaetos,Aquila,chrysaetos,
acowoo,Acorn Woodpecker,Melanerpes formicivorus,Melanerpes,formicivorus,
haiwoo,Hairy Woodpecker,Dryobates villosus,Dryobates,villosus,
prafal,Prairie Falcon,Falco mexicanus,Falco,mexicanus,
barswa,Barn Swallow,Hirundo rustica,Hirundo,rustica,plate-173-barn-swallow
phaino,Phainopepla,Phainopepla nitens,Phainopepla,nitens,
purfin,Purple Finch,Haemorhous purpureus,Haemorhous,purpureus,
chispa,Chipping Sparrow,Spizella passerina,Spizella,passerina,
vigswa,Violet-green Swallow,Tachycineta thalassina,Tachycineta,thalassina,
varthr,Varied Thrush,Ixoreus naevius,Ixoreus,naevius,
pinsis,Pine Siskin,Spinus pinus,Spinus,pinus,
brant,Brant,Branta bernicla,Branta,bernicla,
truswa,Trumpeter Swan,Cygnus buccinator,Cygnus,buccinator,
tufduc,Tufted Duck,Aythya fuligula,Aythya,fuligula,
sursco,Surf Scoter,Melanitta perspicillata,Melanitta,perspicillata,
blksco2,Black Scoter,Melanitta americana,Melanitta,americana,
lotduc,Long-tailed Duck,Clangula hyemalis,Clangula,hyemalis,
rebmer,Red-breasted Merganser,Mergus serrator,Mergus,serrator,
indpea1,Indian Peafowl (Domestic type),Pavo cristatus (Domestic type),Pavo,cristatus (Domestic type),
horgre,Horned Grebe,Podiceps auritus,Podiceps,auritus,
rengre,Red-necked Grebe,Podiceps grisegena,Podiceps,grisegena,
